1,2
6.3192,-15.214
3.6833,-4.2426
4.0758,-2.0897
1,1
-1,-1
22.217,-6.1938
1,1
4.3269,-2.8246
1,1
-1,-1
-1,-1
1.2611,-6.9355
1,1
1,1
1,1
1,1
1,1
-1,-1
1.3478,-20.479
1.2816,-9.1033
-1.7196,5.4865
1,1
-3.3796,2.434
-1,-1
25.701,-4.7566
-9.6105,2.2513
1,1
-1,-1
1,1
1,1
-1,-1
-1,-1
1,1
-1.3101,4.657
1,1
1,1
-7.7971,148.48
-1,-1
1.6187,-32.045
-2.0144,41.328
5.6314,-102.28
-239.67,2261.7
26.755,-98.51
29.046,-42.581
65.142,-38.914
-15.315,3.5738
-1,-1
1,1
1,1
1,1
30.976,-46.421
-35.576,102.94
-23.477,121.33
31.594,-242.17
1,1
-1,-1
1,1
-1,-1
-50.671,897.36
1.6871,-26.104
-1.2724,14.479
1,1
1,1
-1,-1
1,1
-1,-1
2.002,-3.1302
-2.0602,3.0229
1,1
-2.885,2.9393
1,1
1,1
1,1
-13.617,6.8133
1,1
-1,-1
1,1
1,1
-1,-1
1,1
-1,-1
5.6056,-8.2483
-1,-1
1,1
4.5157,-8.0504
-1,-1
-2.9835,4.6573
2.5088,-3.6942
1,1
-1,-1
1,1
-2.2612,2.084
-1,-1
-4.306,2.4062
-1,-1
-289.61,123.68
1,1
101.63,-58.086
1,1
-1,-1
1,1
1,1
3.2885,-3.9593
1,1
-3.3559,4.9195
-1,-1
3.1416,-5.4674
2.9517,-5.2399
-2.8208,4.8231
-2.7918,4.3576
-2.8609,3.9006
1,1
1,1
-3.1334,2.4704
-3.3201,2.1969
3.8613,-2.1859
5.2416,-2.5564
9.0453,-3.9115
1,1
34.573,-18.415
-1,-1
-11.317,11.422
7.7333,-9.8795
5.8378,-8.555
-4.6495,7.1459
-3.8704,5.8893
1,1
2.8561,-4.2045
1,1
-1.1923,1.3415
-1,-1
1.2525,-1.3573
-1,-1
-1,-1
-1,-1
1,1
-1.354,1.8595
-1.0676,1.6934
1,1
1.501,-1.4229
1,1
-1,-1
-1,-1
-1,-1
-2.7399,1.6869
2.5022,-1.712
-2.1525,1.5914
-1.815,1.45
-1,-1
-1,-1
1.1144,-1.2867
1.0208,-1.2962
1.0367,-1.3267
1,1
-1,-1
-1,-1
-1.8719,1.6537
1,1
1,1
1.375,-1.795
1,1
1.0296,-1.5126
-1,-1
1,1
-1,-1
1,1
-2.4512,1.3637
2.1276,-1.4712
1.8658,-1.5312
1,1
-1.4916,1.4402
1,1
-1,-1
1,1
1,1
-1,-1
1.0379,-1.5084
-1,-1
-1,-1
-1,-1
1,1
1,1
1,1
-1.4383,1.4572
1,1
-1.9544,1.5227
-2.1818,1.4621
2.1919,-1.3781
1.947,-1.3177
1.6162,-1.2946
1.3702,-1.3003
1.2408,-1.3193
-3.5491,5.1772
1,1
2.2249,-2.3732
1,1
-1,-1
2.9744,-1.7259
3.7976,-1.8193
4.9624,-1.8591
-1,-1
8.9493,-1.8779
9.451,-1.7157
1,1
1,1
1,1
-4.0571,1.241
1,1
-1,-1
3.8073,-1.5034
1,1
1,1
1,1
3.9213,-5.4949
-1,-1
1.7789,-1.397
-1.6922,1.0884
-1,-1
1,1
2.8158,-1.099
-4.1019,1.2095
-6.144,1.4354
-1,-1
-10.661,2.2556
-11.075,2.5308
-1,-1
-1,-1
5.5331,-1.9137
1,1
-1,-1
3.3928,-1.5933
-3.1205,1.5695
-1,-1
1,1
1,1
-2.0119,1.1708
1,1
1.8104,-1.1764
-1,-1
2.1428,-1.3506
2.5184,-1.3155
-3.2217,1.2693
4.5526,-1.2401
-1,-1
8.0104,-1.2249
7.3996,-1.2268
6.3425,-1.2739
1,1
1,1
5.8939,-2.0608
1,1
6.3105,-3.6898
-6.0415,4.5547
-5.2738,4.8823
1,1
3.7697,-4.6962
1,1
-4.7325,3.2095
1,1
-2.4904,2.7311
1,1
-1,-1
1,1
-1.0781,2.525
-1.0288,2.6474
1,1
-1,-1
-1.3897,3.6678
-1,-1
2.6238,-4.961
3.254,-4.3818
3.0698,-2.6635
-2.6716,1.5613
2.4091,-1.1949
-2.1743,1.1267
1,1
1,1
-1.7753,1.2885
-1,-1
-1,-1
-1,-1
2.1596,-2.0996
-1,-1
-1,-1
1.2371,-2.3375
1.0776,-2.3688
1,1
-1.0716,2.5579
1.2641,-2.8093
-1.5611,3.1817
-1.8452,3.5804
-2.0882,3.9372
-2.4603,4.3188
1,1
4.5542,-5.4121
-1,-1
-7.1602,5.4611
1,1
-4.0372,2.7942
-1,-1
1,1
-1.7239,1.7707
1.5007,-1.7822
-1.3876,1.8566
-1,-1
1.2322,-2.0695
1.1329,-2.1455
1,1
-1.0466,2.1644
1.1481,-2.1418
-1,-1
-1.7799,2.2654
-2.1768,2.406
2.3215,-2.4563
2.1564,-2.3484
1,1
1,1
-1,-1
1,1
-1,-1
3.0319,-1.3913
3.0123,-1.356
1,1
-1,-1
3.5731,-1.9412
1,1
-3.6576,2.753
-1,-1
3.0157,-3.5531
-2.8391,4.1426
3.2346,-5.4825
-5.6175,10.124
264.94,-469.04
-6.1197,9.9364
-4.3599,5.9489
-5.7691,5.8874
1,1
12.013,-5.5323
-1,-1
-1,-1
1,1
1,1
-1,-1
1,1
3.8502,-3.3153
4.384,-4.1299
-4.5106,4.3139
4.342,-4.0957
4.0713,-3.789
-1,-1
3.5528,-3.3802
1,1
-3.4884,3.6927
-4.043,4.6206
-6.0627,7.4396
-1,-1
1,1
1,1
15.585,-13.165
1,1
1,1
-1,-1
1,1
-2.9972,1.0061
1,1
3.2774,-1.6851
3.7636,-2.6228
-1,-1
-1,-1
-1,-1
-3.7381,5.7313
-1,-1
5.0359,-7.5868
-7.7139,10.855
-1,-1
40.901,-46.66
-1,-1
13.805,-10.42
-7.9057,4.6568
-1,-1
-4.9865,2.2537
-4.2809,1.9296
-1,-1
3.2447,-1.5206
1,1
1.9843,-7.3138
-1,-1
3.5222,-12.784
-1,-1
1.596,-1.1933
-1.6383,1.3855
-1,-1
-1.4063,2.1516
-1.4807,2.5058
1.7995,-3.0419
1,1
-1,-1
-3.3479,5.3562
1,1
-4.0769,6.3545
4.0813,-6.4892
1,1
3.3662,-6.6187
2.7843,-6.8558
2.1289,-7.0338
-1.4956,6.7055
1,1
1.0458,-5.0078
-1,-1
-2.4718,3.6636
-1,-1
1,1
-1,-1
-4.2913,3.2643
-3.2931,3.2203
1,1
-1,-1
1,1
-1,-1
1.5746,-3.3917
-2.2063,4.5189
3.2787,-6.4124
4.9269,-9.3388
-6.794,12.821
7.3731,-14.494
-1,-1
-4.1923,11.009
-1,-1
1,1
1,1
1.0125,-2.8926
-1,-1
-1.5683,1.1373
1,1
4.5291,-3.5021
5.437,-5.1002
-5.0234,5.5309
4.0136,-4.9708
-1,-1
-2.4004,3.5701
1,1
1,1
-1.5744,3.3381
1.6238,-3.928
1.81,-4.9327
-2.0594,6.1814
-2.2052,7.133
2.1388,-7.3576
-2.1511,2.1041
-6.2668,5.7477
1,1
10.391,-9.3151
1,1
-168.65,126.39
-1,-1
-1,-1
-3.0393,1.4515
-2.6721,1.4934
2.5249,-1.9052
1,1
-1,-1
1,1
-1,-1
-28.148,25.193
-1,-1
-26.826,11.635
-1,-1
3.3194,-1.5479
2.1342,-1.354
1.4651,-1.3555
1,1
1.2566,-1.834
1.9077,-2.7846
-4.3199,5.7932
1,1
33.671,-31.529
-33.221,25.216
-1,-1
1,1
5.6415,-2.4584
-4.3087,1.9601
-3.7753,2.0691
1,1
-2.8963,2.4381
-2.2564,2.3863
1,1
-1.0803,1.9711
-1,-1
-1,-1
-1,-1
-1,-1
4.1933,-2.6919
1,1
-1,-1
2.8294,-2.732
2.509,-2.485
2.3388,-2.234
-2.3376,2.1315
-2.5334,2.2905
-1,-1
1,1
-1,-1
-1,-1
1,1
-1,-1
-8.6818,4.4857
-6.3633,3.0132
-1,-1
2.9954,-1.7487
-1,-1
1,1
-1,-1
-1,-1
-30.343,1.0849
1,1
-3.2787,1.0302
2.3779,-1.0536
1,1
1,1
-2.3683,1.1243
2.4049,-1.1392
-2.3568,1.1507
1,1
-2.157,1.1798
2.1154,-1.2015
2.17,-1.2235
-1,-1
-2.687,1.2504
-1,-1
-4.0938,1.2569
-1,-1
1,1
1,1
-1,-1
-69.094,1.2094
1,1
25.182,-1.1788
1,1
3.2699,-1.0931
-1,-1
-1,-1
1,1
1,1
1.8336,-1.1898
-1.9436,1.1916
-2.0281,1.1775
-1,-1
-1,-1
-2.6437,1.0986
3.3361,-1.1025
-4.7932,1.1453
-8.3005,1.2607
-18.824,1.5917
-1,-1
-1,-1
-1,-1
-10.938,1.1509
-1,-1
7.5567,-1.1412
6.2344,-1.1534
-1,-1
-1,-1
1,1
-2.0015,1.1768
-1,-1
1.6739,-1.2317
-1.7214,1.2556
1.8312,-1.2638
1.99,-1.2515
1,1
-1,-1
-3.2178,1.1102
4.3571,-1.0564
-6.7651,1.0299
13.513,-1.0567
-52.832,1.2942
-8.0565,13.748
3.2511,-3.3508
-2.855,2.449
2.5878,-2.1014
-2.1649,1.7953
1.6667,-1.5144
-1.4525,1.3251
-3.5318,1.3459
1,1
1,1
-4.2709,1.1907
1,1
2.958,-2.3337
-3.297,4.5159
-7.0638,17.323
-4.3129,18.425
1.3756,-8.3858
-1,-1
-1.3707,6.6633
2.0656,-7.642
1,1
-30.854,70.483
1,1
-1,-1
-1,-1
-1,-1
1,1
1,1
-5.6831,1.7987
-8.2341,2.4794
-1,-1
5.2349,-2.454
-3.8723,2.3506
-3.1122,2.3895
1,1
1,1
2.8226,-4.423
4.4822,-9.8991
1,1
1,1
-1.0521,5.758
-1.9483,6.8887
-5.7585,13.054
-1,-1
-5.3093,6.8642
-2.8174,3.1787
1,1
1,1
1,1
-1,-1
-14.048,1.1705
-10.255,1.8458
7.2979,-2.7012
1,1
-1,-1
6.5141,-11.522
-13.843,35.662
-1,-1
5.8647,-22.087
1,1
1,1
-1,-1
-2.2095,8.8728
-1,-1
57.047,-22.097
84.165,-38.207
16.976,-9.8282
6.9596,-5.5765
-12.368,10.383
1,1
-2.7987,1.0256
2.5252,-1.0094
-1,-1
1,1
-2.9518,1.0788
-3.3836,1.1077
4.0961,-1.1771
-1,-1
8.193,-1.7387
-1,-1
10.968,-3.1855
10.3,-4.1403
-1,-1
1,1
24.279,-16.305
1,1
1,1
21.27,-8.7743
-1,-1
6.4494,-2.3862
-1,-1
-3.3411,1.0889
1,1
1,1
1,1
1,1
-3.3966,1.1997
-3.9063,1.2012
-1,-1
4.9472,-1.2721
1,1
-7.0484,1.7812
1,1
-1,-1
-15.27,5.7504
-1,-1
18.425,-10.96
-1,-1
-1,-1
-1,-1
-11.848,6.2777
-1,-1
-3.1445,1.0552
1,1
2.7294,-1.0216
2.752,-1.0626
-1,-1
1,1
-1,-1
5.661,-1.4917
-6.8344,1.7307
7.0145,-1.9321
-1,-1
-6.3618,2.2482
-1,-1
1,1
1,1
-1,-1
-1,-1
-1,-1
-1,-1
2.9028,-5.8174
-11.949,21.839
-1,-1
1,1
1,1
1,1
1,1
-24.867,34.027
6.5484,-7.6003
1,1
1,1
-2.0984,1.1346
1.8997,-1.0074
-1.8243,1.2038
-1,-1
1,1
1.6213,-2.3562
1,1
1,1
1.367,-2.69
1.3555,-2.7503
1.609,-3.1382
1,1
1,1
-7.8994,13.288
-1,-1
-1,-1
4.1184,-4.8557
22.185,-20.563
1,1
-3.1502,2.3413
-1,-1
1.8372,-1.3498
-1,-1
1,1
-1,-1
1,1
-1.5655,1.6585
1,1
1,1
1.6522,-3.3782
-1.7732,3.8863
-2.0306,4.4688
2.5185,-5.3485
1,1
1,1
21.234,-38.099
-1,-1
-1,-1
-4.3176,6.2007
-1,-1
-1,-1
-3.0854,1.4656
1,1
-1,-1
-1.7131,1.2119
-1,-1
1.446,-1.4901
1.4248,-1.6081
1,1
1.3926,-1.8603
4.658,-4.2354
1,1
13.17,-10.987
-1,-1
-3.0353,2.4346
1,1
-1,-1
1,1
-1.7278,2.5208
-1,-1
-1.7385,2.9016
1,1
-1,-1
-1,-1
2.4297,-2.9339
4.0205,-4.8663
18.888,-23.423
1,1
3.7254,-5.1552
-3.2316,4.6089
4.8903,-7.3109
-1,-1
3.5269,-6.1298
1,1
1,1
-2.2387,2.861
-1,-1
1,1
-2.4077,2.2411
-1,-1
-2.2403,2.2542
2.1115,-2.3745
-2.0023,2.5102
-1.9485,2.6542
-1,-1
-2.2837,3.4095
-3.4298,5.1765
-22.304,31.029
-4.3068,4.7111
2.4031,-1.967
-1,-1
2.3478,-1.7603
1,1
-1,-1
1,1
1,1
-1.762,2.3051
1,1
1,1
-1.5115,2.4095
1,1
1.7624,-2.5903
-1,-1
1,1
1.865,-2.0694
1,1
-1.774,2.3779
-1,-1
2.1936,-4.4142
4.3142,-10.014
1,1
-2.7344,3.971
1,1
-1,-1
2.6025,-6.1576
3.3274,-6.2606
-1,-1
1,1
-4.1856,6.286
-1,-1
3.0201,-5.7396
2.7668,-6.7513
3.8207,-13.09
1,1
-1,-1
1.1624,-6.2495
1.0571,-4.7504
1,1
1.0515,-3.509
1,1
-1,-1
5.9491,-18.038
-699.27,2610.1
8.4752,-32.928
1,1
-4.0381,12.815
-1,-1
-1,-1
1,1
1,1
2.8617,-5.5156
4.208,-7.1188
6.2227,-9.5897
-8.4153,12.097
1,1
1,1
3.5619,-3.9868
1,1
-6.7674,13.945
37.079,-106.97
1,1
-14.731,45.728
-1,-1
-1,-1
1,1
1,1
-6.5019,15.046
1,1
-1,-1
